data_kind,size,n_ms_introsort, n_ms_quick_sort
random,88000,10026541,15085625
random,88100,10059083,14958709
random,88200,9729958,14629333
random,88300,9873916,14746458
random,88400,9650833,14720250
random,88500,9752166,14499083
random,88600,9747583,14635667
random,88700,10120500,15237292
random,88800,9196750,14855792
random,88900,9485542,15298417
random,89000,9514583,15047125
random,89100,9412167,15015834
random,89200,9505417,15129084
random,89300,9602792,15281458
random,89400,9618041,15312542
random,89500,9961250,15462375
random,89600,9919375,14727833
random,89700,9842959,15332667
random,89800,9362917,15001875
random,89900,10025500,14874000
random,90000,9960792,15207042
random,90100,10008916,15315583
random,90200,9883875,15244916
random,90300,10215708,15755291
random,90400,9858375,14913875
random,90500,9957292,15289584
random,90600,10030375,15425542
random,90700,10119500,15483041
random,90800,10171000,15546417
random,90900,10171875,15453833
random,91000,10067209,15811250
random,91100,10537917,15824792
random,91200,10363834,15977166
random,91300,10372000,15600541
random,91400,10194750,15585167
random,91500,10171417,15699875
random,91600,9982500,15627250
random,91700,10185125,15643167
random,91800,10041667,15604334
random,91900,10198375,15997833
random,92000,10182917,15924208
random,92100,9964083,15397417
random,92200,9774958,15445959
random,92300,9842375,15529875
random,92400,9847167,15641583
random,92500,10094250,15997333
random,92600,10303292,16260833
random,92700,9929416,15674084
random,92800,10049083,15690625
random,92900,10036208,15765917
random,93000,10033458,16058875
random,93100,9939458,16074917
random,93200,10005875,16349542
random,93300,10241875,16090875
random,93400,10797000,15915125
random,93500,10165833,15369375
random,93600,10528958,15443458
random,93700,10356625,15869292
random,93800,10387708,15972917
random,93900,10662500,16425750
random,94000,10210500,16494292
random,94100,10294458,16602042
random,94200,10086709,16226709
random,94300,10161416,16249208
random,94400,10204834,16448834
random,94500,10253833,16515708
random,94600,10256917,16584584
random,94700,9996459,16617292
random,94800,10700542,16397000
random,94900,10470292,16159167
random,95000,10046375,16038250
random,95100,10612958,15893334
random,95200,10217042,16243625
random,95300,10336500,16633417
random,95400,10591208,16308250
random,95500,10782833,16106083
random,95600,10758625,15810125
random,95700,10685125,16015750
random,95800,10632375,16058166
random,95900,10759791,15768208
random,96000,10555750,16276958
random,96100,10562917,16564458
random,96200,10520625,16613875
random,96300,10316834,16335875
random,96400,10513333,16320875
random,96500,10355084,16426709
random,96600,10366875,16383166
random,96700,10412625,16698333
random,96800,11021792,16589000
random,96900,11272125,16337625
random,97000,10844875,16142416
random,97100,10856375,16208500
random,97200,10796583,16298250
random,97300,10792208,16069625
random,97400,10709625,17066416
random,97500,10468375,16743958
random,97600,11149125,16727666
random,97700,10927041,16542750
random,97800,10940292,16823000
random,97900,10852500,16820458
random,98000,10986417,16556541
random,98100,10960084,16515792
random,98200,10727792,17073708
random,98300,10856375,16659333
random,98400,11045042,16534125
random,98500,10846041,16677459
random,98600,10998458,17087208
random,98700,10686375,17189333
random,98800,11115750,16955375
random,98900,10693750,17313000
random,99000,11065875,16922333
random,99100,11095542,16979250
random,99200,11113916,16944792
random,99300,12316458,16858291
random,99400,10902333,17106416
random,99500,10898042,17325042
random,99600,11048167,16758958
random,99700,10889875,17107584
random,99800,11136042,16976791
random,99900,11205708,16540041
sorted,1000,27292,79375
sorted,1100,30750,77750
sorted,1200,33458,84125
sorted,1300,36625,90625
sorted,1400,38833,97375
sorted,1500,42292,105583
sorted,1600,47084,115500
sorted,1700,53250,121709
sorted,1800,58417,130250
sorted,1900,60583,133291
sorted,2000,56417,145458
sorted,2100,63708,148458
sorted,2200,66583,158375
sorted,2300,66500,164209
sorted,2400,111166,174541
sorted,2500,72709,180000
sorted,2600,103959,187917
sorted,2700,80875,199875
